title,id_passport_number,account_number,defaulter_type,gender,telephone,alternate_telephone,email,alternate_email,country,town,address,occupation,company_name,description,kin_full_names,kin_telephone,kin_email,kin_relationship,assigned_agent_id,institution,amount,additional_charges,balance,currency,priority,due_date
Kevin,AB123456,ACC001,Individual,Male,712345677,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1000,50,950,USD,High,01/12/2024
Kevin1,AB123456,ACC001,Individual,Male,712345678,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1001,50,950,USD,High,01/12/2024
Kevin2,AB123456,ACC001,Individual,Male,712345679,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1002,50,950,USD,High,01/12/2024
Kevin3,AB123456,ACC001,Individual,Male,712345680,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1003,50,950,USD,High,01/12/2024
Kevin4,AB123456,ACC001,Individual,Male,712345681,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1004,50,950,USD,High,01/12/2024
Kevin5,AB123456,ACC001,Individual,Male,712345682,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1005,50,950,USD,High,01/12/2024
Kevin6,AB123456,ACC001,Individual,Male,712345683,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1006,50,950,USD,High,01/12/2024
Kevin7,AB123456,ACC001,Individual,Male,712345684,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1007,50,950,USD,High,01/12/2024
Kevin8,AB123456,ACC001,Individual,Male,712345685,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1008,50,950,USD,High,01/12/2024
Kevin9,AB123456,ACC001,Individual,Male,712345686,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1009,50,950,USD,High,01/12/2024
Kevin10,AB123456,ACC001,Individual,Male,712345687,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1010,50,950,USD,High,01/12/2024
Kevin11,AB123456,ACC001,Individual,Male,712345688,,test@example.com,,Kenya,Nairobi,Some Address,Engineer,ABC Ltd,Test description,John Doe,712345679,john@example.com,Brother,1,EQUITY BANK,1011,50,950,USD,High,01/12/2024
